Entry,Reviewer,Reviewer company,Overall rating,Ease-of-use,Customer support,Functionality,Value for money,Review title,Review summary,Review pros,Review cons
Dundas BI Reviews,Anthony,Centre for Addiction and Mental Health,5.0,5.0,5.0,5.0,5.0,Awesome BI Product!,Excellent Visualizations and integration possibilities.,Integrates into your existing business systems in no time!,programming/scripting knowledge for advanced functionality
Dundas BI Reviews,Paul,Vector Aerospace International Limited (A StandardAero Company),5.0,4.0,4.0,5.0,,"Fantastic software, easy to use and adaptable!","Creating fresh looking, easy to digest and pinpoint accuracy metrics have meant that our first dashboard for utilization has empowered the management team to successfully control the levels to meet the targets with ease.","Simple, Easy and adaptable. Metrics are quick to create and then the transfer to a dashboard is even easier. Parameters are quick and easy to set up meaning the filtering of data can be carried out clean and effectively.",Inability to support Internet Explorer. 
Dundas BI Reviews,James,Yulista,5.0,5.0,2.0,5.0,5.0,Dundas BI is a wonderful product that is easy to use and has great features.,There a lot of good people at this company making an awesome product.,"Easy to use, security features, continual development of product, and they like taking suggestion from their user base on how to make the product better. I like easy of getting the data and being able to change how I look at it with different visuals. It helps me find the best way to answer the questions I am wanting to answer already and find new questions that I didn't have but see now I should be answering.",Their customer service needs to have a small upgrade. They are helpful a lot of the time. For not unusual situation they are are to help out easily with no issue. On unusual support issues that are technical it takes a few email back and forth then a GoTo Meeting to get things rolling towards a solution.
Dundas BI Reviews,Kacper,Keyrus US,4.5,4.5,5.0,4.0,4.5,"Dundas BI is on a sharp upward trajectory, check it out!",,"Dundas BI lets you install, prepare data, visual, and explore your data within minutes. It has a fast and intuitive user interface. No corners have been cut and the features are impressive. You can prepare data as well as a true ETL tool and prepare multi page reports as well as the big stack vendors. Finally, I want to laud their customer service. No other tech company comes close to the high standards Dundas has set for service and reliability.",There is only a small community of users compared to bigger solutions. It's not the fault of Dundas. It's a niche product and it's something to consider.
Dundas BI Reviews,Alexandru,Insightful.mobi,4.0,4.0,4.0,4.0,3.0,Dundas bi.. good but hard,This is the second time trying to submit this review,So many cool features and everything is flexible with some coding.  Can connect to a variety of sources.,Some coding knowledge is recommended. Simple out of the box features are a bit lacking.  Steep learning curve
Dundas BI Reviews,Pieter,Transportation,5.0,4.0,5.0,5.0,5.0,Dundas Review,,"ease of design, flexibility of functionalities, access to data","due to the massive amount of libraries, methods and scripts one can utilize to efficiently create, the learning curve can be somewhat steep in the beginning and when time is limited  "
Dundas BI Reviews,Matthew,Soloman Ludwin,5.0,4.0,5.0,4.0,5.0,"Finance, Progress Review, and BI",I have been using Dundas for a few years now and love it. I have been able to knock out really good looking dashboards in a small amount of time. It has never crashed. If I do something incorrectly there are helpful error messages and a log I can inspect.,"Very powerful, tons of configuration options, great user community, gorgeous visualizations, good documentation, responsive support",I would like to see more videos with some of the more difficult business cases being solved. I would like for there to be more built in themes and styles.
Dundas BI Reviews,Luca,Intralot,4.0,4.0,,3.5,,A really good DataVisualizzation tool.,,"I have not had the opportunity to delve in detail this product as I wanted, we have created several dashboards and reports in the evaluation phase of the software and must say it is really a great product, quick enough to develop after a little practice and a lot attractive.  The strength of Dundas BI is definitely its optimization for tablets and mobile devices, it is a SharePoint integrated software, you can use several different data sources, all the most common including OLAP, the development interface is very linear and intuitive.  It has several interesting features such as the functionality of the dynamic system (directly from the dashboard so no need for IT side changes) and useful homescreen user interface so that each user can customize their own ""home.""","The software is really good and attractive, just about the license cost of Dundas BI is not very cheap, furtherermore if you want to upgrade your product it requires a payment additional subscription."
Dundas BI Reviews,Emin,ineo,5.0,5.0,5.0,5.0,4.0,Consultant,,easy to use and responsive design is helps users to design their own dashboards and reports without technical support,"İt is mobile design. For mobile devices, mobile design option should be created in a different option."
Dundas BI Reviews,Mohammad,InfoCloud Middle East,5.0,5.0,5.0,5.0,,I am Dundas BI/Dashboard Developer since 5 years.,,"Firstly, Its flexibility in both the design and its capability to integrate with other systems. Dundas Team are keen always to server our clients and they are trying always to make customer life is easy.    Secondly, It is ease of use.",It does not support 3D Charts even it is clear that 2D chart is more professional but we receive many requests on 3D charts.
Dundas BI Reviews,Larry,Viamedia,4.0,4.0,5.0,5.0,3.0,Programmer Review of Dundas BI,"I am still somewhat new to this product, but have enjoyed using it so far. It's ease of usability spearheaded by its drag and drop methodology makes it easy to pick right up and start visualizing your data. I continue to find new and improved possibilities over past products used - so the future is looking bright with Dundas BI.","The easy to use drag and drop capabilities. Also, often forgotten, and also in many instances - a pain, the easy to use Update wizard is a breeze with DundasBI... makes the updates that Dundas pushes very exciting.  ","Not much on this side yet, but have had a couple nuances that Dundas has found to be bugs - but none that their customer support team hasn't already relayed to their developers."
Dundas BI Reviews,Tom,Family HealthCare Network,5.0,5.0,5.0,5.0,5.0,Dundas BI is a fantastic tool,"Dundas BI is a fully realized BI system providing beautiful data visualizations in a easy to use interface. I say system because it is more than just a chart generator. It contains user account management that integrates with ActiveDirectory, connectivity to a slew of data sources, a number of cool features I would never have expected in a web application.  Dundas' support team is great. ",Ease of use and beautiful data visualizations. ,Nothing
Dundas BI Reviews,Kevin,Coastline Gaming,4.0,3.0,5.0,4.0,4.0,Quality product exceptional service,After a little learning Dundas BI is a powerful tool with enough functionality for most enterprise environments.  Easy to deploy with a simple architecture.,"Speed of deployment is a real plus.  Customized white labeling, multitenancy, and a simple administration interface make this a powerful tool.",Does take a little learning and needs a big server Ram for in memory processing.
Dundas BI Reviews,Devon,Tenaska Power Services Co,4.5,4.0,4.5,4.5,,Great product that balances Ease-of-use with Functionality well.,,"Striking the balance between functionaility and ease-of-use, Dundas BI is accessible while remaining robust, which is unusual for this type of software. The out-of-the-box functionality is deep, and most things you cannot do natively can be scripted using Javascript. The learning curve is short to get started creating high level visualizations. ","The depth is nearly unlimited, however you have to know Javascript (or be willing to learn it) to get functionality that isn't native to the product. As the product is relatively new, there are some bugs, but they have a reasonably fast release cycle and those bugs are squashed quickly and/or have an acceptable short-term workaround. Sometimes it is difficult to understand what an error means without some technical background, but their support makes up for this."
Dundas BI Reviews,Jacqui,Bespoke Software,4.0,4.0,4.5,4.0,,Fast dashboard development,,Product: That they have taken the HTML5 path and eventually the tool will become more responsive so solution providers can get closer to the  build once and deploy on any device nirvana that clients are coming to expect.  Vendor: The awesome support team.  Always very responsive to any queries that we have had.,"Product: The navigation paradigm for people who don't embed this tool in another application, but rather use it as a stand alone tool. You pretty much need to roll your own.  Vendor: That they don't have the exposure yet that some of the other BI tool providers.  It is harder to convince a client to consider a product that they haven't heard about.  We in no way think this reflects on the capability of the product."
Dundas BI Reviews,Christoph,Siemens AG,4.5,5.0,4.5,4.0,,Our go to data visualization tool,,"We do like the flexibility, especially through the open API as well as the performance of the entire dashboard. Integration into our own infrastructure was very easy. The performance of cubes (especially when build in-memory) is fantastic.","Because the product is very new, I wouldn't call it feature complete yet. On the data visualization side of things, we have everything we need, but we need more options in the (still brand new) ETL module. Mainly we need to be able to change data after aggregation has happened (e.g. in case you do not want to show results if the base is too low)."
Dundas BI Reviews,Kenneth,Visiting Angels,5.0,5.0,,5.0,,Excellent BI Integrations!,,Dundas BI is really a one of a kind type of platform that can give critical insights to any organization. Without these insights you really don't know what you're missing. Must try!,It took some time to really train on the platform and understand how to manage the analytics. With some time you can get a good grip on everything.
Dundas BI Reviews,Andrew,G4S,4.5,3.5,5.0,4.5,,Quick and Easy KPI's for the masses,,The software is great - the latest versions of the dashboard are contemporary and look great.  The company is friendly and always on hand to help.,The software is not particularly cheap - which does mean that mass take up could be expensive for many named users.  
Dundas BI Reviews,Christian,"SupplyCore, Inc.",4.0,4.0,,4.0,,Flexible time Saver ,,"Before we used Dundas, I had to go to IT for every small report. Changes to already set up reports took the same amount of time and effort. Basically there was usually a significant delay, before I got the information I needed and sometimes it was tiresome, to explain to the IT person what exactly I needed. With Dundas I am able to create and send reports in just a few minutes. And changes are usually just a drag and a few clicks away. Dundas also helped us getting better insight in our operations. We were able to focus our compliance review on problem areas instead of randomly poking around. All in all, Dundas saved us a lot of time and our IT team is much happier and can focus on more important things.","It took a while to get to the point, where I did not have to rely on help from IT. I am also missing an easy way, to do some advanced calculations and creating new tables from them."
Dundas BI Reviews,Charlie,Cleveland Clinic Foundation,4.5,4.0,3.5,5.0,,Very Intuitive,,Product: The balance between ease of use and flexibility to customize  Vendor: Our Account Rep Denise,Support has been more difficult requiring long detailed emails be sent instead of directly speaking with someone on the phone when the issue is something beyond a simple fix
Dundas BI Reviews,Ayush,Parkbridge Lifestyle Communities Inc.,5.0,5.0,5.0,5.0,5.0,Great software!!,,Best part about DBI is ease of use for the end users,Haven't found anything specific about DBI yet
Dundas BI Reviews,Ana,RomIT Project Consult,5.0,5.0,5.0,5.0,5.0,Best tool for BI,For all use cases is the best BI tool,Robust SDK SME / Departmental Support Superior Mobile BI capabilities Integrates with collaboration infrastructure,It's very easy to use and useful for everyone. Dundas gave us a lot of good things for our dashboards
Dundas BI Reviews,Greg,Cleveland Health,4.5,4.0,,5.0,,Great Tool,,The flexibility of the tool that allows limitless options. ,There is really nothing that I don’t like about the product. I have used Dundas for over 6 years. I have demoed a lot other visualization tools and none of them compare to Dundas.
Dundas BI Reviews,Corey,ADT Security,5.0,4.0,5.0,5.0,4.0,Easy and Quick BI experience,"I have had a great experience with Dundas BI so far.  The standard controls and features are great, and being able to leverage Javascript alongside the built in tools has enabled us to do some really cool things with our dashboards.  I am still a beginner as far as BI goes, but I've been able to pick up Dundas BI and build several dashboards so far without any problems.","It is simple to use, but has a lot of great features and customization options.","Some parts of the program took some getting used to since there are so many options available, but once you get used to where to find certain options it isn't that bad."
Dundas BI Reviews,Moath,Infocloud,4.0,4.0,5.0,5.0,4.0,flexibility and more,"Flexibility - Ability to customize , extend and integrate with one fully programmable platform for data integration , reporting , dashboards and analysis  Innovation – Easy to use BI solution designed with flexibility and customization in mind including data integration , self-service data discovery , unified single experience and powerful visualizations   Enterprise-ready – Ease of management with full control . Security and governance needed for large-scale integration and deployment  Trusted Partner – Strong history in data visualization with loyal customer base.  Professional services and support – We focus on our customers Business needs through a consultative and best practice , end-to-end solutions approach.  ",,
Dundas BI Reviews,Dan,ISI,5.0,4.5,5.0,5.0,,Great BI Platform to Satisfy Broad Spectrum of BI Stakeholders,,"This is a well designed end to end, ie data staging to visualization tool.  It will satisfy the dev and power analysts through decision makers.  Unlike many legacy platforms, this is not bulky, can be on prem, in the cloud or hosted.  It is a fully browser enabled application, unlike leading newcomers who have bulky client components.  The collaborative capabilities are unique and differentiate this product from leading players.  Lastly, the output is fully HTML5 enabled for mobile consumption.  Competitors have developed siloed device OS apps which are costly and complex to support.","Dundas has been a well kept secret, even though they've been around for 20+ years.  New marketing and partner relationships will deal with this."
Dundas BI Reviews,Laurence,Viamedia,5.0,4.0,5.0,5.0,,Visualizing Data is super easy,,The number of visualizations is great. Nothing is left to the imagination.   The easy to us drag and drop capabilities make going from pure data to visual representations in no time.  The ability to manipulate and massage your data before trying to visualize it is perfect.  Ease of getting up to date versions.,Some features desired still have to be scripted.  Some bugs have been found - but none that the support team haven't fixed in future versions.
Dundas BI Reviews,Brad,Tenaska Power Services,4.0,4.0,4.0,4.0,4.0,Dundas BI allows for rapid extensibility,,The ability for us to write custom extensions to use the product with our highly-customized data solutions,I wish that their support was a bit more responsive to requests the first time.  I sometimes feel like they require more follow-up than I would anticipate.
Dundas BI Reviews,Cameron,GVEA,3.0,2.0,3.0,4.0,3.0,"Frustrating for developers, great for end users once they adapt",,Empowers the end user to take control of their data and manipulate the presentation how they would like instead of having the developers develop the multiple different views for them.,The user interface is very confusing from a developer stand point. There are also numerous strange bugs that will come up in regards to permissions and data driven notifications.
Dundas BI Reviews,Paul,Insightful.Mobi,5.0,4.0,,5.0,,Small Software company seeing a BI functionality for multi-tenanted environment,,Dundas delivers multi-tenancy in an elegant way. It has a great architecture allowing us to provide some powerful reportings options to our clients and take full credit for it.,While they do have quite a few examples of how you can use the environment these could be a lot more substantial. Admittedly any question we have put to them they have managed to cover off through the support desk.
Dundas BI Reviews,Shachar,radcom,5.0,5.0,5.0,5.0,5.0,Good one,We checked several products and this one fit us the most.,,
Dundas BI Reviews,Samer,Devoteam,4.0,5.0,5.0,5.0,4.0,Dundas BI Amazing tool,"I was fresh graduate when i started with my company, they assigned me to work with Dundas BI as it was the new tool in the department for the new guy, so i started the self learning journey watching videos , reading articles, doing samples and the tool was user friendly it was easy to use and entertaining i liked it very much and wanted to learn more and more about it. and now i am the Dundas BI expert and consultant in my company ","Flexibility, easy to use, Functionality",Nothing till now
Dundas BI Reviews,Luis,Medidata .Net,4.5,4.5,4.5,4.5,,"I've using this tool for quite a while, used it in various projects",,"It's very easy to use, customizable enough, good performance and, most of all, has a great support team.",I really for the moment have nothing to appoint regarding this vendor is product.
Dundas BI Reviews,Jian,CAMH,3.0,3.0,4.0,4.0,3.0,Overall a very unique and powerful BI visualization tool.,Overall a very good BI tool.  It has so much to offer so that takes users more time to get really good at it.  Most of the time customer service is great.  Sometimes issues raised would get ignored unless ask about it again.,- A lot of existing visualization components - Very simple and clean UI - Support various customization - Open API that gives the users ability to do almost anything,- Deployment issue happens often - System errors that are hard to interpret/troubleshoot - Not enough 'basic' functionality
Dundas BI Reviews,Ravi,TREB,5.0,5.0,5.0,5.0,5.0,"Dundas BI is like Pandora's Box. Everytime I use it, there is a new exciting feature/functionality to be found",,"It's really advanced in terms of functionality, visually appealing and yet very simple to use and explore.",Sometimes the feature names are not so intuitive (particularly in the 'Look' tab) to relate to. One needs to do a lot of trial and error to get the desired look of the table/chart/visualization.
Dundas BI Reviews,Derek,NB Power,4.0,4.0,5.0,4.0,5.0,Dundas BI is a great dataviz program with a ton of flexibiltiy. ,,Dundas BI allows you to display data with a large variety of visualization that can match nearly any data set. Dashboard building is simple and intuitive. ,There are some bugs. Notably with the maps feature and some inconsistencies in data cube construction. Troubleshooting can be a pain. 
Dundas BI Reviews,Chris,Satori Group India Pvt Ltd,4.0,4.0,5.0,4.0,4.0,Dundas: One of a kind,,Easy to use and understand. Great customer support team. If stuck with a doubt the support team is always instant in backing with a reply and solution for the same.,Not many How to do videos or academy for beginners to learn the product to get comfortable in the start.
Dundas BI Reviews,Tom,Family HealthCare Network,4.5,3.5,4.5,4.5,,A Powerful Tool with some Amazing Capabilities,,"Product: I can create fantastic data visualizations quickly. Everything is self-contained--from security to data extraction to visualization. I don't have to spend time cobbling things together with JavaScript and bailing wire; I can just create dashboards.    Vendor: They provide great customer service and support for their products and I feel like I'm their only or top customer. I know I'm not, but it feels that way.",It would be nice if their support hours extended a little later for those of us in the Pacific time zone.
Dundas BI Reviews,Edmond,MacLaren McCann,4.0,4.5,4.0,4.0,,Dundas BI for Web Analytics,,"Dundas BI has a very powerful scripting engine for both the frontend and backend. I've only seen a handful of products in the BI space that has scripting capabilities, and nothing comes close to what Dundas BI has to offer.  The in-memory caching feature allows a dashboard to render in only a few seconds. It's truly amazing.","I am currently evaluating version 2 of Dundas BI. It's a relatively new piece of software, so documentation and samples are really lacking."
Dundas BI Reviews,Kimberly,Evergreen Health,5.0,4.0,5.0,5.0,5.0,This product can do anything!,,"And by anything, I mean it. Dundas can create all sorts of visualizations, info graphics & charts like I've never imagined.","It's not really a con, but because there is so many options, it can make using it difficult. I wish making maps was as easy as in Tableau. "
Dundas BI Reviews,Crystal,Kern High School District,5.0,5.0,5.0,5.0,5.0,Loving Dundas so far . . .,We have had a great first week learning and building. It has been challenging in the most productive ways and our trainer is amazing! We are all enjoying how interactive and hands on the training is and we appreciate all of the best practice advice up front. ,Data Cube creation is seamless,No snapping feature
Dundas BI Reviews,B.,Center6,5.0,5.0,5.0,,,Cutting edge BI solution. Very little if anything compares.,"This product is extremely flexible and very robust. From a BI and visualization standpoint what you can do with it is limitless. And the support and development team at Dundas are top notch. When you need something they're available AND knowledgeable. In the software world this is a rarity. Only con, from a visualization development standpoint it's still a tool for the business analyst or IT professional. But our users aren't complaining - they LOVE the visualizations we're creating.",,
Dundas BI Reviews,andrew,MWH,3.0,3.0,,3.0,,Dundas BI,used Dunas BI through eBuilder. The product showed good visuals but was not intuitive to build out a dashboard with the data. ,the product has decent looking graphs and images. ,limited functionality especially when integrated with eBuilder
Dundas BI Reviews,Joel,Insurance,4.0,1.0,5.0,5.0,3.0,Feature-rich but awkward UI,Love-hate,"There is a nice breadth of features ""out of the box"".",The User Interface in the various designer screens is very awkward.
Dundas BI Reviews,Christopher,Aptiv,5.0,4.0,5.0,5.0,5.0,"Affordable, flexible solution for manufacturing operations BI","We needed a self-service BI solution that would cover manufacturing operations dashboards and use cases.  We wanted a tool that would allow for the distribution of centralized common dashboards but also allow for self-service customization.  It needed to connect to multiple disparate data sources, and provide native ETL.  It also needed to allow for real-time refresh capability.  Finally, it needed to be affordable and scalable to our global operations footprint.  DundasBI was the only solution that checked all of these boxes, and so far the tool has been a great help to reducing external spend and internal, custom-coded solutions. ","-Real-time dashboard refresh capability -Built-in ETL -Flexible seat types and affordable licensing -Superior flexibility and customization, without the need for coding -Out of the box performance and usage tracking",Customization and flexibility come at the cost of a steeper learning curve compared to other solutions.  
Dundas BI Reviews,Anonymous,,5.0,5.0,5.0,5.0,5.0,Amazing Experience for Your Dashboard's Users,"The Creation GUI is very quirky, but the results are well worth putting up with it. I have never had an idea that I could not eventually create (sometimes, some java script is needed). The fact that they expose all of their API tools to the end user is amazing, and allows you to create some awesome things.","- Support team is very helpful with basic use cases.  - After a dashboard has been created, it looks great and works well for the end user.  - People with zero programming experience are able to create dashboards.","(All very minor things, which might be addressed in future updates) - Data cube creation, metric sets, and dashboards must be created using their GUI- they cannot be generated using scripts or edited as script.  - You cannot copy and paste sections of one dashboard or datacube to another.  - Data cube nodes cannot be copied.  - All programming scripts are stored in an sql database, which means you cannot use version control systems (such as Git Hub)."
Dundas BI Reviews,John-Arne,Schlumberger,3.0,2.0,4.0,3.0,4.0,"Promising, good and high potential but not there yet","Dundas BI is a very good contender in the BI segment and has great potential. At the moment it is a tool for developers proficient with JavaScript and not recommended for end users. There are great potential with DBI. Unfortunately v4 got the wrong focus on non-essential upgrades thus put the bar high for version 5. To compete with Power BI, Tableau and QlikView DBI need much improvement on user-friendliness. If DBI can be really improved on administration and formatting and keeping the flexibility it will surpass most of it's competitors. ","Relatively easy to get started and creating visualizations and dashboards. The scorecard, which is a kind of repeating panel is brilliant and undervalued. The report is a great addition which makes DBI an all-in-one BI tool. Dashboard layers and pop-ups enhances the experience. Data driven notification adds to a useful experience. ETL cube with data warehouse has powerful transformations and much capabilities. The open API with JavaScript makes it flexible beyond expectations. ","Project and file and content management is amongst the worst in class! This need to be completely changed in v5! It's a frustrating experience to organize content. Auto save is okay, but need to be able to decide where. Check in /out is over-used and add frustration to developing dashboards. Poor cube management; need option to process multiple cubes and have incremential processing as option. Need an equation writer for those who is not proficient in JavaScript. Need more formulas for metric sets. Hidden metric sets in dashboards are a bad idea. Properties tab need complete re-organization."
Dundas BI Reviews,RENZI,Willis Towers Watson,4.0,3.0,5.0,3.0,4.0,Great BI tool,"Since Dundas BI is fairly new compared to it's competitors expect a steep learning curve, especially on using the API's. With that said, it is quite worth it as you will be rewarded with a product that could deliver a great user experience whether using it as a stand-alone platform or embedding it to your existing ones.","Dundas BI is very easy to use and intuitive. For simple reports, almost everything works right out of the box. For advanced usage, the API's available are astounding. You can control the application without using their UI. (Great for automating certain routine admin tasks!) ","They would have to look into deeper support for OLAP sources. Also, they would have to improve on their documentation, sometimes there are amazing features that are not going to be used because the user would not even know it's there. "
Dundas BI Reviews,PRASHANT,Honeywell,4.0,5.0,5.0,5.0,4.0,Highly Customizable BI Software,Its Awesome product.,Dundas BI is very good software having lots of features and it is highly customizable BI Product.,Dundas BI dashboard performance should be improved for large data and also needs to improve Report PDF export look and feel.Also It needs more efforts to design from scratch.
Dundas BI Reviews,Octavian,RomIT Project Consult,5.0,4.0,5.0,5.0,4.0,Dundas BI - Much more than a BI tool,"Overall experience is very good, I like that there is nothing that can't be done with this tool, with regards to user requirements.","Best thing about Dundas BI  is that it is very extendable to user needs and it can accomplish a lot more in a very short development time, comparing to other BI tools on the market which are not so extendable and easy to use. You can also build more than a dashboard with Dundas BI, you can also create software as a service applications with complex navigation systems and all sorts of rules applied to the visualizations and it's data. Speaking of data, it also has a very powerful ETL engine that enables data transformation without needing to know SQL or other query languages.","These is not much to dislike at this tool but if I have to come up with an answer, I will say that the complexity of options for every visualization could be a dislike because it is very time consuming to find everything in the properties tab of each type of viz. This also may be a big like because it enables you to customize everything pixel perfect."
Dundas BI Reviews,Anonymous,,4.0,4.0,3.0,5.0,4.0,Best Flexible BI tool in the market,"Built dashboards which makes our customers day easier , well organized and informative, which otherwise would require customers to use their own analytics to gain insights.","This software provides with a breadth of flexibility in terms of integrations, automated user authentication,different charts available for visualizations.  The time to market is reduced greatly.","Documentation for some features is not descriptive enough, which makes it difficult to use some of the cool features the tool provides."
Dundas BI Reviews,Jatin,A1 Innovation Group,5.0,4.0,5.0,4.0,5.0,Easy to customize and user friendly GUI,Overall I definitely would like to recommend Dundas BI as a BI tool for organization. within a sort time of period you can easily create your own reports or dashboard. ,"Dundas BI easy to customize and very friendly GUI. you can easily navigate to ETL process, Scheduling job, admin activity, configuration, user security and roles.  Most important thing is very well visualization options, flexibility, stability and multi tenancy licenses.  Customer Support is really very good.","Required better folder structure to manage data cubes, matric Set and dashboard."
